,category,subcategory,githuburl,featured,links,description,_repopath,_reponame,_stars,_forks,_watches,_topics,_language,_homepage,_description,_organization,_updated_at,_last_commit_date,_created_at,_age_weeks,_stars_per_week
239,cardano,blockchain,https://github.com/input-output-hk/hydra-poc,,,,input-output-hk/hydra-poc,hydra-poc,41,7,19,[],Haskell,,Proof of concept for the Hydra Head protocol :construction_worker:,input-output-hk,2021-09-28,2021-09-28,2021-03-01,30,1.3601895734597156
65,ethereum,blockchain,https://github.com/ethereum/guide,1.0,,,ethereum/guide,guide,40,26,23,[],CSS,,Docs,ethereum,2021-08-28,2016-03-03,2015-08-08,320,0.12483281319661169
391,iota,client,https://github.com/iotaledger/protocol-rfcs,,,?,iotaledger/protocol-rfcs,protocol-rfcs,40,22,31,[],Shell,,RFCs (Requests for comments) for the IOTA protocol. RFCs can be accepted by individual node software implementations.,iotaledger,2021-08-24,2021-05-11,2019-10-11,102,0.38997214484679665
296,stella,,https://github.com/stellar/paper-wallet,,,,stellar/paper-wallet,paper-wallet,40,28,13,"['paper-wallet', 'stellar', 'lumen', 'paper-wallets']",HTML,https://stellar.github.io/paper-wallet/,,stellar,2021-06-08,2018-08-10,2017-05-15,228,0.17532874139010646
181,algorand,blockchain,https://github.com/algorand/smart-contracts,,,,algorand/smart-contracts,smart-contracts,40,38,7,[],Shell,,Example stateful and stateless smart contracts.,algorand,2021-09-27,2021-09-27,2020-07-22,61,0.6466512702078522
168,algorand,blockchain,https://github.com/algorand/go-algorand-doc,,,,algorand/go-algorand-doc,go-algorand-doc,39,10,118,[],Shell,,Documentation for Algorand's Go implementation,algorand,2021-08-02,2020-02-26,2018-08-13,163,0.23905429071803852
281,eoc,blockchain,https://github.com/EOSIO/spec-repo,,,,EOSIO/spec-repo,spec-repo,39,6,39,[],,,EOSIO Specifications Repository,EOSIO,2021-06-26,2020-04-27,2019-05-30,121,0.3204225352112676
107,ethereum,blockchain,https://github.com/ethereum/py_pairing,1.0,,,ethereum/py_pairing,py_pairing,39,24,6,[],Python,,"Elliptic curve operations, including pairings",ethereum,2021-09-22,2017-07-15,2017-06-20,223,0.17488789237668162
100,ethereum,blockchain,https://github.com/ethereum/solidity-test-bytecode,1.0,,,ethereum/solidity-test-bytecode,solidity-test-bytecode,39,57,12,[],Shell,,Test repository for cross-platform comparison of the Solidity compiler,ethereum,2020-12-10,2020-10-15,2017-03-15,236,0.1646562123039807
487,augur,monorepo,https://github.com/AugurProject/whitepaper,,,,AugurProject/whitepaper,whitepaper,38,24,7,[],TeX,,The Augur Project Whitepaper,AugurProject,2021-09-10,2021-03-30,2018-04-17,180,0.2111111111111111
409,iota,client,https://github.com/iotaledger/cli-wallet,,,?,iotaledger/cli-wallet,cli-wallet,38,5,4,[],Rust,,,iotaledger,2021-09-08,2021-08-06,2020-11-27,43,0.8721311475409836
177,algorand,blockchain,https://github.com/algorand/bls_sigs_ref,,,,algorand/bls_sigs_ref,bls_sigs_ref,38,6,8,[],Python,https://github.com/algorand/bls_sigs_ref,Algorand's reference implementation of bls signature scheme,algorand,2021-07-11,2020-04-24,2019-10-23,100,0.37677053824362605
303,stella,,https://github.com/stellar/new-docs,,,,stellar/new-docs,new-docs,37,103,13,[],JavaScript,https://developers.stellar.org,,stellar,2021-09-13,2021-09-13,2019-09-13,106,0.34718498659517427
412,dash,,https://github.com/dashpay/electrum-dash-old,,,,dashpay/electrum-dash-old,electrum-dash-old,37,95,21,[],Python,https://electrum-dash.org,Electrum-DASH - a Dash thin client,dashpay,2021-06-10,2017-03-19,2015-09-10,315,0.1171945701357466
394,iota,client,https://github.com/iotaledger/mam.js,,,?,iotaledger/mam.js,mam.js,37,7,22,"['iota', 'mam', 'javascript', 'typescript']",TypeScript,,Pure JavaScript implementation of MAMv0,iotaledger,2021-09-22,2021-09-22,2019-11-21,96,0.3825701624815362
267,eoc,blockchain,https://github.com/EOSIO/demux-js-eos,,,,EOSIO/demux-js-eos,demux-js-eos,37,19,47,[],TypeScript,,Demux-js Action Reader implementations for EOSIO blockchains,EOSIO,2021-05-21,2020-01-26,2018-08-15,162,0.22719298245614036
362,iota,client,https://github.com/iotaledger/curl.lib.js,,,?,iotaledger/curl.lib.js,curl.lib.js,37,30,15,[],JavaScript,,IOTA Proof-of-Work algorithm ported to Javascript to work in WebGL2-enabled browsers,iotaledger,2021-02-24,2019-05-22,2017-02-04,242,0.15262227460223923
404,iota,client,https://github.com/iotaledger/IOTA-2.0-Research-Specifications,,,?,iotaledger/IOTA-2.0-Research-Specifications,IOTA-2.0-Research-Specifications,36,8,31,[],,,This is the repository of the IOTA 2.0 Research Specifications.,iotaledger,2021-09-23,2021-08-16,2020-07-13,63,0.5701357466063348
444,cosmos,sdk,https://github.com/cosmos/governance,,,,cosmos/governance,governance,36,23,14,"['cosmos', 'governance']",Shell,,Resources for Cosmos governance,cosmos,2021-09-21,2021-09-17,2020-10-07,50,0.7078651685393258
6,ripple,blockchain,https://github.com/ripple/ripple-blobvault,,,,ripple/ripple-blobvault,ripple-blobvault,36,41,29,[],JavaScript,https://ripple.com/wiki/Blobvault,Server for storing persistent data for Ripple clients,ripple,2021-06-23,2016-04-01,2012-10-17,466,0.07711138310893513
218,cardano,blockchain,https://github.com/input-output-hk/cardano-base,,,,input-output-hk/cardano-base,cardano-base,36,11,59,[],Haskell,,Code used throughout the Cardano eco-system,input-output-hk,2021-09-27,2021-09-27,2019-03-18,132,0.2724324324324324
413,dash,,https://github.com/dashpay/paper.dash.org,,,,dashpay/paper.dash.org,paper.dash.org,36,38,14,[],HTML,https://paper.dash.org,JavaScript Client-Side Dash Wallet Generator,dashpay,2021-09-18,2018-06-22,2016-01-04,299,0.12034383954154727
26,solana,blockchain,https://github.com/solana-labs/oyster,,,,solana-labs/oyster,oyster,36,37,15,[],TypeScript,oyster.vercel.app,,solana-labs,2021-09-25,2021-09-24,2021-02-04,33,1.0677966101694916
259,eoc,blockchain,https://github.com/EOSIO/fc,,,,EOSIO/fc,fc,35,86,37,[],C++,,,EOSIO,2021-08-18,2020-08-20,2018-06-04,173,0.20214521452145215
338,thor,,https://github.com/vechain/grant-program,,,,vechain/grant-program,grant-program,35,39,12,[],,,VeChain Foundation General Grant Program,vechain,2021-09-26,2021-09-08,2021-04-28,21,1.6013071895424837
196,cardano,blockchain,https://github.com/input-output-hk/cardanodocs.com-archived,,,,input-output-hk/cardanodocs.com-archived,cardanodocs.com-archived,35,29,33,"['stake-blockchain-protocol', 'cryptocurrency', 'documentation']",HTML,https://cardanodocs.com,Cardano Settlement Layer Documentation,input-output-hk,2021-02-28,2020-01-03,2017-04-27,230,0.15170278637770898
126,ethereum,blockchain,https://github.com/ethereum/eth-wiki,1.0,,,ethereum/eth-wiki,eth-wiki,35,32,12,[],,https://eth.wiki,Ethereum Wiki,ethereum,2021-08-26,2021-07-30,2018-06-22,170,0.2051926298157454
297,stella,,https://github.com/stellar/packages,,,,stellar/packages,packages,35,31,11,[],Shell,,SDF - Packages,stellar,2021-09-22,2021-09-08,2017-12-27,195,0.1787016776075857
403,iota,client,https://github.com/iotaledger/IOTA-2.0-DevNet-wallet,,,?,iotaledger/IOTA-2.0-DevNet-wallet,IOTA-2.0-DevNet-wallet,35,13,26,[],TypeScript,,GUI Wallet for use with the IOTA 2.0 DevNet,iotaledger,2021-09-09,2021-06-02,2020-07-09,63,0.5493273542600897
119,ethereum,blockchain,https://github.com/ethereum/ethereum-python-project-template,1.0,,,ethereum/ethereum-python-project-template,ethereum-python-project-template,34,21,10,[],Python,,Template for new Python Ethereum repositories,ethereum,2021-09-04,2021-01-21,2018-01-24,191,0.17721518987341772
526,enjin,erc,https://github.com/enjin/enjincraft,,,,enjin/enjincraft,enjincraft,34,10,14,"['enjin-platform', 'enjin-coin-platform', 'minecraft', 'minecraft-plugin', 'ethereum', 'gaming']",Java,https://enjin.io/,Minecraft plugin for integration with the Enjin Platform.,enjin,2021-09-27,2021-05-31,2018-02-05,190,0.17881292261457551
172,algorand,blockchain,https://github.com/algorand/java-algorand-sdk,,,,algorand/java-algorand-sdk,java-algorand-sdk,34,32,14,[],Java,https://developer.algorand.org,Algorand SDK for Java7+ to interact with the Algorand network,algorand,2021-09-28,2021-09-28,2019-03-20,131,0.25785482123510295
160,chainlink,blockchain,https://github.com/smartcontractkit/external-initiator,,,,smartcontractkit/external-initiator,external-initiator,34,34,46,[],Go,,Initiate Chainlink job runs from external sources,smartcontractkit,2021-08-30,2021-08-30,2019-09-05,107,0.3156498673740053
154,ethereum,blockchain,https://github.com/ethereum/trin,1.0,,,ethereum/trin,trin,34,19,6,[],Rust,,"An Ethereum portal client: a json-rpc server with nearly instant sync, and low CPU & storage usage",ethereum,2021-09-26,2021-09-25,2021-02-12,32,1.043859649122807
290,stella,,https://github.com/stellar/developers,,,,stellar/developers,developers,34,28,24,[],JavaScript,https://www.stellar.org/developers,Stellar developer portal site generator.,stellar,2021-07-24,2021-04-23,2015-09-24,313,0.10837887067395265
236,cardano,blockchain,https://github.com/input-output-hk/nothunks,,,,input-output-hk/nothunks,nothunks,34,4,34,[],Haskell,,,input-output-hk,2021-09-02,2021-06-28,2020-09-09,54,0.6197916666666666
