,category,subcategory,githuburl,featured,links,description,_repopath,_reponame,_stars,_forks,_watches,_topics,_language,_homepage,_description,_organization,_updated_at,_last_commit_date,_created_at,_age_weeks,_stars_per_week
0,bitcoin,blockchain,https://github.com/bitcoin/bitcoin,,,,bitcoin/bitcoin,bitcoin,57270,30005,3841,"['bitcoin', 'c-plus-plus', 'p2p', 'cryptocurrency', 'cryptography']",C++,https://bitcoincore.org/en/download,Bitcoin Core integration/staging tree,bitcoin,2021-09-28,2021-09-28,2010-12-19,562,101.85213414634147
33,ethereum,blockchain,https://github.com/ethereum/go-ethereum,1.0,,,ethereum/go-ethereum,go-ethereum,32525,11980,2118,"['go', 'blockchain', 'ethereum', 'p2p', 'geth']",Go,https://geth.ethereum.org,Official Go implementation of the Ethereum protocol,ethereum,2021-09-28,2021-09-28,2013-12-26,404,80.36533709848217
36,ethereum,blockchain,https://github.com/ethereum/wiki,1.0,,,ethereum/wiki,wiki,13890,2509,1265,[],,https://www.ethereum.org,The Ethereum Wiki,ethereum,2021-09-28,2021-09-04,2014-02-14,397,34.93711821775063
456,dogecoin,,https://github.com/dogecoin/dogecoin,,,,dogecoin/dogecoin,dogecoin,12999,2302,861,[],C++,,very currency,dogecoin,2021-09-28,2021-08-20,2013-12-06,407,31.8937960042061
68,ethereum,blockchain,https://github.com/ethereum/solidity,1.0,,,ethereum/solidity,solidity,12137,3099,564,"['cpp', 'ethereum', 'smartcontracts', 'language', 'solidity', 'blockchain']",C++,https://soliditylang.org,"Solidity, the Smart Contract Programming Language",ethereum,2021-09-28,2021-09-28,2015-08-17,319,38.029991047448526
246,eoc,blockchain,https://github.com/EOSIO/eos,,,,EOSIO/eos,eos,11258,3648,1061,['eosio'],C++,https://developers.eos.io/manuals/eos,An open source smart contract platform ,EOSIO,2021-09-27,2021-07-19,2017-04-05,233,48.14050091631032
63,ethereum,blockchain,https://github.com/ethereum/mist,1.0,,,ethereum/mist,mist,7357,2020,732,"['ethereum', 'browser', 'meteor', 'web3', 'geth', 'electron', 'blockchain']",JavaScript,http://ethereum.org,[DEPRECATED] Mist. Browse and use Ðapps on the Ethereum network.,ethereum,2021-09-28,2019-03-27,2015-06-10,328,22.371416159860992
74,ethereum,blockchain,https://github.com/ethereum/EIPs,1.0,,,ethereum/EIPs,EIPs,7284,2812,869,[],Solidity,https://eips.ethereum.org/,The Ethereum Improvement Proposal repository,ethereum,2021-09-28,2021-09-28,2015-10-26,309,23.56192236598891
306,monero,,https://github.com/monero-project/monero,,,,monero-project/monero,monero,6235,3070,490,"['c-plus-plus', 'monero', 'cryptocurrency', 'cmake', 'security', 'privacy', 'blockchain', 'p2p', 'cryptonote', 'cryptography']",C++,https://getmonero.org,"Monero: the secure, private, untraceable cryptocurrency",monero-project,2021-09-28,2021-09-24,2014-04-30,386,16.11706056129985
1,bitcoin,blockchain,https://github.com/bitcoin/bips,,,,bitcoin/bips,bips,5662,3749,707,[],Python,,Bitcoin Improvement Proposals,bitcoin,2021-09-28,2021-08-31,2013-11-19,410,13.809756097560976
447,zcash,blockchain,https://github.com/zcash/zcash,,,,zcash/zcash,zcash,4461,1848,403,[],C++,https://z.cash/,Zcash - Internet Money,zcash,2021-09-27,2021-09-23,2014-11-22,357,12.480815347721823
14,solana,blockchain,https://github.com/solana-labs/solana,,,,solana-labs/solana,solana,4216,806,173,"['ledger', 'blockchain', 'solana', 'performance-blockchain', 'rustc', 'bitcoin', 'rust']",Rust,https://solana.com,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",solana-labs,2021-09-28,2021-09-28,2018-02-14,188,22.32375189107413
4,ripple,blockchain,https://github.com/ripple/rippled,,,,ripple/rippled,rippled,3946,1265,511,"['xrpl', 'xrp-ledger', 'xrp', 'cplusplus', 'c-plus-plus', 'cryptography', 'blockchain']",C++,https://xrpl.org,Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger in C++,ripple,2021-09-27,2021-09-13,2011-11-07,516,7.645170218654857
34,ethereum,blockchain,https://github.com/ethereum/aleth,1.0,,,ethereum/aleth,aleth,3856,2277,481,"['ethereum', 'ethereum-client', 'cpp', 'evm']",C++,,"Aleth – Ethereum C++ client, tools and libraries",ethereum,2021-09-26,2021-03-12,2013-12-26,404,9.52770914225203
189,cardano,blockchain,https://github.com/input-output-hk/cardano-sl,,,,input-output-hk/cardano-sl,cardano-sl,3683,613,447,"['haskell', 'stake-blockchain-protocol', 'cryptocurrency']",Haskell,,Cryptographic currency implementing Ouroboros PoS protocol,input-output-hk,2021-09-26,2020-06-25,2016-10-14,258,14.24364640883978
339,neo,,https://github.com/neo-project/neo,,,,neo-project/neo,neo,3307,968,392,"['neo', 'blockchain']",C#,,NEO Smart Economy,neo-project,2021-09-28,2021-09-28,2015-05-31,330,10.012543252595156
315,tron,,https://github.com/tronprotocol/java-tron,,,,tronprotocol/java-tron,java-tron,2820,964,334,[],Java,,Java implementation of the Tron whitepaper,tronprotocol,2021-09-28,2021-08-13,2017-12-26,196,14.387755102040817
286,stella,,https://github.com/stellar/stellar-core,,,,stellar/stellar-core,stellar-core,2795,923,277,[],C,https://www.stellar.org,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network,stellar,2021-09-27,2021-09-24,2014-11-24,357,7.826
421,cosmos,sdk,https://github.com/cosmos/cosmos-sdk,,,,cosmos/cosmos-sdk,cosmos-sdk,2784,1237,198,"['go', 'cryptocurrency', 'tendermint', 'cosmos-sdk', 'golang']",Go,https://cosmos.network/,:chains: A Framework for Building High Value Public Blockchains :sparkles:,cosmos,2021-09-28,2021-09-28,2016-02-06,294,9.455604075691411
32,ethereum,blockchain,https://github.com/ethereum/pyethereum,1.0,,,ethereum/pyethereum,pyethereum,2635,747,254,[],,,Next generation cryptocurrency network,ethereum,2021-09-26,2019-05-29,2013-12-24,405,6.506172839506172
82,ethereum,blockchain,https://github.com/ethereum/web3.py,1.0,,,ethereum/web3.py,web3.py,2316,801,88,[],Python,http://web3py.readthedocs.io,A python interface for interacting with the Ethereum blockchain and ecosystem.,ethereum,2021-09-28,2021-09-27,2016-04-14,284,8.13447064726543
158,chainlink,blockchain,https://github.com/smartcontractkit/chainlink,,,,smartcontractkit/chainlink,chainlink,2281,695,230,"['chainlink', 'ethereum', 'blockchain', 'golang', 'solidity', 'oracle']",Go,https://chain.link,"node of the decentralized oracle network, bridging on and off-chain computation",smartcontractkit,2021-09-28,2021-09-28,2017-11-20,201,11.340198863636363
351,iota,client,https://github.com/iotaledger/legacy-wallet-use-trinity-wallet-instead,,,?,iotaledger/legacy-wallet-use-trinity-wallet-instead,legacy-wallet-use-trinity-wallet-instead,2130,416,262,"['iota-gui', 'iota-wallet', 'iota']",JavaScript,,IOTA Wallet,iotaledger,2021-09-13,2018-10-08,2016-07-20,270,7.863924050632911
220,cardano,blockchain,https://github.com/input-output-hk/cardano-node,,,,input-output-hk/cardano-node,cardano-node,2107,398,195,[],Haskell,https://cardano.org,The core component that is used to participate in a Cardano decentralised blockchain.,input-output-hk,2021-09-28,2021-09-28,2019-05-23,122,17.16996507566938
249,eoc,blockchain,https://github.com/EOSIO/Documentation,,,,EOSIO/Documentation,Documentation,2101,913,320,[],,https://eos.io,EOSIO Documents,EOSIO,2021-09-22,2018-11-13,2017-06-06,225,9.337777777777777
41,ethereum,blockchain,https://github.com/ethereum/ethereumj,1.0,,,ethereum/ethereumj,ethereumj,2097,1058,246,[],Java,,DEPRECATED! Java implementation of the Ethereum yellowpaper. For JSON-RPC and other client features check Ethereum Harmony,ethereum,2021-09-28,2020-05-20,2014-05-13,385,5.4467532467532465
130,ethereum,blockchain,https://github.com/ethereum/consensus-specs,1.0,,,ethereum/consensus-specs,consensus-specs,2079,513,204,[],Python,,Ethereum Proof-of-Stake Consensus Specifications,ethereum,2021-09-28,2021-09-28,2018-09-20,157,13.182065217391305
83,ethereum,blockchain,https://github.com/ethereum/remix-ide,1.0,,,ethereum/remix-ide,remix-ide,1701,799,110,"['remix', 'remix-ide', 'solidity', 'vyper', 'smart-contracts', 'blockchain', 'evm', 'ethereum', 'documentation', 'debugging', 'debugging-tool']",,https://remix-ide.readthedocs.io,Documentation for Remix IDE,ethereum,2021-09-28,2021-09-23,2016-05-17,280,6.075
410,dash,,https://github.com/dashpay/dash,,,,dashpay/dash,dash,1409,1144,215,"['dash', 'bitcoin', 'cryptocurrency', 'p2p', 'privacy', 'instant', 'governance', 'masternode', 'blockchain']",C++,https://www.dash.org,Dash - Reinventing Cryptocurrency,dashpay,2021-09-24,2021-06-05,2014-05-01,386,3.643516808274843
251,eoc,blockchain,https://github.com/EOSIO/eosjs,,,,EOSIO/eosjs,eosjs,1380,445,121,[],TypeScript,http://eosio.github.io/eosjs,General purpose library for the EOSIO blockchain. ,EOSIO,2021-09-27,2021-09-23,2017-08-03,216,6.367831245880026
462,0xproject,?,https://github.com/0xProject/0x-monorepo,,,? eth ?,0xProject/0x-monorepo,0x-monorepo,1367,477,84,"['0x', 'ethereum', 'erc20', 'erc721', 'exchange']",TypeScript,,0x protocol monorepo - includes our smart contracts and many developer tools,0xProject,2021-09-27,2021-04-24,2017-05-23,227,6.022026431718062
5,ripple,blockchain,https://github.com/ripple/ripple-client,,,,ripple/ripple-client,ripple-client,1338,535,715,[],JavaScript,,A UI for the Ripple payment network built using web technologies,ripple,2021-08-12,2018-01-08,2012-10-16,467,2.8650963597430406
96,ethereum,blockchain,https://github.com/ethereum/py-evm,1.0,,,ethereum/py-evm,py-evm,1336,466,94,"['evm', 'ethereum', 'python', 'ethereum-virtual-machine']",Python,https://py-evm.readthedocs.io/en/latest/,A Python implementation of the Ethereum Virtual Machine,ethereum,2021-09-28,2021-09-20,2016-12-27,248,5.387096774193548
167,chainlink,blockchain,https://github.com/smartcontractkit/full-blockchain-solidity-course-py,,,,smartcontractkit/full-blockchain-solidity-course-py,full-blockchain-solidity-course-py,1327,295,38,"['ethereum', 'blockchain', 'solidity', 'smart-contracts', 'dapp', 'chainlink', 'web3']",,,"Ultimate Solidity, Blockchain, and Smart Contract - Beginner to Expert Full Course | Python Edition",smartcontractkit,2021-09-28,2021-09-17,2021-07-27,9,147.44444444444446
420,cosmos,bridge,https://github.com/tharsis/ethermint,,,,tharsis/ethermint,ethermint,1288,137,467,"['go', 'blockchain', 'evm', 'ethereum', 'cosmos-sdk']",Go,https://ethermint.dev/,"Ethermint is a scalable and interoperable Ethereum, built on Proof-of-Stake with fast-finality using the Cosmos SDK.",tharsis,2021-09-28,2021-09-28,2021-04-17,23,54.97560975609756
116,ethereum,blockchain,https://github.com/ethereum/ethereum-org-website,1.0,,,ethereum/ethereum-org-website,ethereum-org-website,1281,1406,111,"['ethereum', 'blockchain', 'react', 'gatsby']",JavaScript,https://ethereum.org/,Ethereum.org is a primary online resource for the Ethereum community.,ethereum,2021-09-28,2021-09-28,2018-01-06,194,6.588537839823659
60,ethereum,blockchain,https://github.com/ethereum/pyethapp,1.0,,,ethereum/pyethapp,pyethapp,1275,408,114,[],Python,,,ethereum,2021-09-24,2018-07-19,2015-04-05,338,3.7690033783783785
355,iota,client,https://github.com/iotaledger/iri,,,?,iotaledger/iri,iri,1179,397,138,"['iota-core', 'iota-java', 'iota', 'iota-reference']",Java,,IOTA Reference Implementation,iotaledger,2021-09-02,2020-08-18,2016-10-24,257,4.585
191,cardano,blockchain,https://github.com/input-output-hk/plutus,,,,input-output-hk/plutus,plutus,1154,326,109,"['blockchain', 'smart-contracts', 'programming-language']",Haskell,,The Plutus language implementation and tools,input-output-hk,2021-09-28,2021-09-28,2016-11-15,254,4.543307086614173
72,ethereum,blockchain,https://github.com/ethereum/research,1.0,,,ethereum/research,research,1142,286,216,[],Python,,,ethereum,2021-09-25,2021-09-13,2015-09-20,314,3.6336363636363638
39,ethereum,blockchain,https://github.com/ethereum/yellowpaper,1.0,,,ethereum/yellowpaper,yellowpaper,1141,397,102,[],TeX,,"The ""Yellow Paper"": Ethereum's formal specification",ethereum,2021-09-28,2021-07-11,2014-04-02,390,2.9192251461988303
499,qtum,wallet,https://github.com/qtumproject/qtum,,,?,qtumproject/qtum,qtum,1120,350,194,"['cryptocurrency', 'cryptography', 'c-plus-plus', 'p2p', 'ethereum', 'bitcoin', 'qtum']",C++,https://qtum.org,Qtum Core Wallet,qtumproject,2021-09-25,2021-06-17,2017-03-03,238,4.6946107784431135
81,ethereum,blockchain,https://github.com/ethereum/remix,1.0,,,ethereum/remix,remix,1099,438,74,"['remix', 'remix-ide', 'ethereum', 'solidity', 'smart-contracts', 'blockchain', 'evm']",JavaScript,,This has been moved to https://github.com/ethereum/remix-project,ethereum,2021-09-28,2020-09-09,2016-04-11,285,3.8542084168336674
294,stella,,https://github.com/stellar/go,,,,stellar/go,go,1057,453,79,"['stellar', 'blockchain', 'cryptocurrency', 'horizon']",Go,https://stellar.org/developers,Stellar's public monorepo of go code,stellar,2021-09-28,2021-09-28,2016-08-04,268,3.933545986177565
188,cardano,blockchain,https://github.com/input-output-hk/daedalus,,,,input-output-hk/daedalus,daedalus,1050,266,107,[],JavaScript,https://daedaluswallet.io/,"The open source cryptocurrency wallet for ada, built to grow with the community",input-output-hk,2021-09-26,2021-09-22,2016-10-05,259,4.040681693238043
422,cosmos,sdk,https://github.com/cosmos/cosmos,,,,cosmos/cosmos,cosmos,1010,232,148,"['cryptocurrency', 'blockchain', 'proof-of-stake', 'tendermint']",TeX,https://cosmos.network,Internet of Blockchains ⚛  ,cosmos,2021-09-23,2019-07-14,2016-05-19,279,3.6108273748723185
352,iota,client,https://github.com/iotaledger/iota.js,,,?,iotaledger/iota.js,iota.js,947,293,93,"['iota-javascript-library', 'iota', 'iota-library', 'iot', 'internet-of-things']",TypeScript,,IOTA JavaScript,iotaledger,2021-09-27,2021-09-27,2016-09-10,263,3.5949023861171367
491,aave,?,https://github.com/aave/aave-protocol,,,,aave/aave-protocol,aave-protocol,898,379,95,[],HTML,,Aave Protocol Version 1.0 - Decentralized Lending Pools,aave,2021-09-28,2021-01-22,2019-10-21,101,8.878531073446327
310,monero,,https://github.com/monero-project/monero-gui,,,,monero-project/monero-gui,monero-gui,887,642,91,[],C,,"Monero: the secure, private, untraceable cryptocurrency",monero-project,2021-09-26,2021-09-24,2015-04-01,338,2.617622259696459
240,cardano,blockchain,https://github.com/input-output-hk/plutus-pioneer-program,,,,input-output-hk/plutus-pioneer-program,plutus-pioneer-program,860,368,126,[],Haskell,,,input-output-hk,2021-09-27,2021-08-18,2021-03-30,26,33.07692307692308
46,ethereum,blockchain,https://github.com/ethereum/dapp-bin,1.0,,,ethereum/dapp-bin,dapp-bin,830,349,82,[],JavaScript,,A place for all the ÐApps to live,ethereum,2021-09-25,2017-06-02,2014-08-07,372,2.226906860866232
80,ethereum,blockchain,https://github.com/ethereum/solc-js,1.0,,,ethereum/solc-js,solc-js,794,223,37,[],JavaScript,https://soliditylang.org,Javascript bindings for the Solidity compiler,ethereum,2021-09-27,2021-09-27,2016-04-04,286,2.7748377433849227
299,stella,,https://github.com/stellar/kelp,,,,stellar/kelp,kelp,749,167,49,"['cryptocurrency', 'stellar', 'stellar-network', 'stellar-lumens', 'trading-bot', 'trading-strategies', 'trading-algorithms', 'trading', 'trading-platform', 'trading-api', 'blockchain', 'liquidity', 'market-maker', 'market-making', 'ccxt-rest', 'ethereum', 'xlm']",Go,https://kelpbot.io,Kelp is a free and open-source trading bot for the Stellar DEX and 100+ centralized exchanges,stellar,2021-09-26,2021-09-14,2018-08-08,163,4.571054925893636
523,dfinity,,https://github.com/dfinity/ic,,,,dfinity/ic,ic,737,71,50,[],Rust,,Internet Computer blockchain source: the client/replica software run by nodes,dfinity,2021-09-28,2021-09-16,2021-05-09,20,36.33098591549296
333,thor,,https://github.com/vechain/thor,,,,vechain/thor,thor,701,195,157,"['vechain', 'blockchain', 'node', 'thor']",Go,,A general purpose blockchain highly compatible with Ethereum's ecosystem,vechain,2021-09-24,2021-08-18,2018-06-08,172,4.062086092715232
93,ethereum,blockchain,https://github.com/ethereum/pm,1.0,,,ethereum/pm,pm,677,161,240,[],,,Project Management: Meeting notes and agenda items,ethereum,2021-09-28,2021-09-21,2016-10-01,260,2.5995611629182664
173,algorand,blockchain,https://github.com/algorand/go-algorand,,,,algorand/go-algorand,go-algorand,672,228,48,[],Go,https://developer.algorand.org/,Algorand's official implementation in Go. ,algorand,2021-09-28,2021-09-28,2019-06-11,120,5.6
104,ethereum,blockchain,https://github.com/ethereum/casper,1.0,,,ethereum/casper,casper,670,177,152,[],Python,,"Casper contract, and related software and tests",ethereum,2021-09-22,2019-03-28,2017-04-16,232,2.8843788437884377
20,solana,blockchain,https://github.com/solana-labs/solana-program-library,,,,solana-labs/solana-program-library,solana-program-library,670,381,55,[],Rust,https://solana.com,A collection of Solana-maintained on-chain programs,solana-labs,2021-09-28,2021-09-28,2020-05-29,69,9.630390143737166
423,cosmos,sdk,https://github.com/cosmos/ethermint-archive,,,,cosmos/ethermint-archive,ethermint-archive,667,186,84,"['ethereum', 'tendermint', 'blockchain', 'ethermint', 'geth', 'mist', 'truffle', 'minikube', 'tendermint-consensus', 'consensus']",Go,,Ethereum on Tendermint using Cosmos-SDK!,cosmos,2021-09-17,2020-10-07,2016-11-11,254,2.6200897867564534
148,ethereum,blockchain,https://github.com/ethereum/remix-project,1.0,,,ethereum/remix-project,remix-project,623,241,34,"['remix', 'remix-ide', 'solidity', 'smart-contracts', 'evm', 'vyper', 'blockchain', 'ethereum']",JavaScript,https://remix-ide.readthedocs.io,Remix is a browser-based compiler and IDE that enables users to build Ethereum contracts with Solidity language and to debug transactions.,ethereum,2021-09-28,2021-09-24,2020-03-20,79,7.829443447037702
528,bitcoin_gold,,https://github.com/BTCGPU/BTCGPU,,,,BTCGPU/BTCGPU,BTCGPU,607,323,143,[],C++,http://bitcoingold.org,Current work on BTCGPU,BTCGPU,2021-09-20,2021-04-11,2017-07-23,218,2.780759162303665
242,cardano,blockchain,https://github.com/input-output-hk/essential-cardano,,,,input-output-hk/essential-cardano,essential-cardano,601,159,73,[],,,Repository for the Essential Cardano list,input-output-hk,2021-09-27,2021-09-23,2021-04-27,22,27.318181818181817
480,augur,monorepo,https://github.com/AugurProject/augur-core,,,,AugurProject/augur-core,augur-core,590,143,100,"['ethereum', 'dapp', 'solidity', 'ethereum-contract']",TypeScript,https://www.augur.net,Augur back-end (Ethereum contracts),AugurProject,2021-09-11,2019-02-11,2014-12-06,355,1.659967845659164
54,ethereum,blockchain,https://github.com/ethereum/meteor-dapp-wallet,1.0,,,ethereum/meteor-dapp-wallet,meteor-dapp-wallet,574,451,69,[],JavaScript,https://wallet.ethereum.org,,ethereum,2021-09-20,2020-06-15,2015-02-02,347,1.6534979423868312
27,solana,blockchain,https://github.com/solana-labs/dapp-scaffold,,,,solana-labs/dapp-scaffold,dapp-scaffold,568,224,33,[],TypeScript,,Scaffolding for a dapp built on Solana,solana-labs,2021-09-27,2021-08-11,2021-02-16,32,17.75
312,monero,,https://github.com/monero-project/kovri,,,,monero-project/kovri,kovri,551,112,97,[],C++,,The Kovri I2P Router Project,monero-project,2021-09-26,2018-09-07,2015-11-15,306,1.798973880597015
64,ethereum,blockchain,https://github.com/ethereum/btcrelay,1.0,,,ethereum/btcrelay,btcrelay,541,166,66,"['ethereum', 'bitcoin', 'solidity', 'smart-contracts', 'bitcoin-transaction', 'btc-relay', 'bitcoin-proof', 'production', 'live', 'mainnet']",Python,http://btcrelay.org,Ethereum contract for Bitcoin SPV: Live on https://etherscan.io/address/0x41f274c0023f83391de4e0733c609df5a124c3d4,ethereum,2021-09-10,2017-10-25,2015-06-11,328,1.6458061712299001
288,stella,,https://github.com/stellar/js-stellar-sdk,,,,stellar/js-stellar-sdk,js-stellar-sdk,525,256,65,"['stellar', 'blockchain', 'cryptocurrency', 'javascript', 'horizon', 'sdk']",JavaScript,https://stellar.github.io/js-stellar-sdk/,Main Stellar client library for the Javascript language,stellar,2021-09-28,2021-09-28,2015-04-09,337,1.5545685279187818
217,cardano,blockchain,https://github.com/input-output-hk/cardano-wallet,,,,input-output-hk/cardano-wallet,cardano-wallet,512,122,55,[],Haskell,,HTTP server & command-line for managing UTxOs and HD wallets in Cardano.,input-output-hk,2021-09-28,2021-09-28,2019-03-01,134,3.8046709129511678
183,cardano,blockchain,https://github.com/input-output-hk/Scorex,,,,input-output-hk/Scorex,Scorex,500,78,69,[],JavaScript,,Modular blockchain framework. Public domain,input-output-hk,2021-09-17,2017-08-27,2015-04-06,338,1.478664976763836
71,ethereum,blockchain,https://github.com/ethereum/webthree-umbrella,1.0,,,ethereum/webthree-umbrella,webthree-umbrella,498,188,127,[],,http://cpp-ethereum.org,Former home of cpp-ethereum (Oct 2015 to Aug 2016),ethereum,2021-08-28,2016-08-18,2015-09-07,316,1.5752372345232715
375,iota,client,https://github.com/iotaledger/trinity-wallet,,,?,iotaledger/trinity-wallet,trinity-wallet,498,126,48,[],JavaScript,https://trinity.iota.org,"Trinity is IOTA's old, deprecated wallet. Use Firefly instead.",iotaledger,2021-09-21,2021-09-06,2018-05-23,174,2.8480392156862746
261,eoc,blockchain,https://github.com/EOSIO/eosio.cdt,,,,EOSIO/eosio.cdt,eosio.cdt,490,299,72,"['wasm', 'eosio']",C++,http://eosio.github.io/eosio.cdt,EOSIO.CDT (Contract Development Toolkit) is a suite of tools used to build EOSIO contracts,EOSIO,2021-09-17,2021-07-12,2018-06-15,171,2.8559533721898416
51,ethereum,blockchain,https://github.com/ethereum/devp2p,1.0,,,ethereum/devp2p,devp2p,486,195,58,[],JavaScript,,Ethereum peer-to-peer networking specifications,ethereum,2021-09-28,2021-07-29,2015-01-20,349,1.3925501432664757
123,ethereum,blockchain,https://github.com/ethereum/trinity,1.0,,,ethereum/trinity,trinity,479,147,30,[],Python,https://trinity.ethereum.org,The Trinity client for the Ethereum network,ethereum,2021-09-24,2021-07-01,2018-02-27,187,2.5614973262032086
138,ethereum,blockchain,https://github.com/ethereum/fe,1.0,,,ethereum/fe,fe,470,49,22,[],Rust,,Emerging smart contract language for the Ethereum blockchain.,ethereum,2021-09-24,2021-09-24,2019-08-10,111,4.217948717948718
109,ethereum,blockchain,https://github.com/ethereum/sharding,1.0,,,ethereum/sharding,sharding,462,96,117,"['ethereum', 'python', 'sharding', 'vyper']",Python,,"Sharding manager contract, and related software and tests",ethereum,2021-09-16,2018-06-15,2017-07-07,220,2.094559585492228
15,solana,blockchain,https://github.com/solana-labs/solana-web3.js,,,,solana-labs/solana-web3.js,solana-web3.js,459,164,31,"['node', 'nodejs', 'javascript', 'js', 'blockchain', 'solana', 'sdk']",TypeScript,https://solana-labs.github.io/solana-web3.js,Solana JavaScript SDK,solana-labs,2021-09-28,2021-09-28,2018-08-22,161,2.8358340688437775
481,augur,monorepo,https://github.com/AugurProject/augur-ui,,,,AugurProject/augur-ui,augur-ui,414,110,83,"['ethereum', 'react', 'redux', 'ui', 'webpack', 'webpack3', 'css-modules', 'bem']",JavaScript,https://dev.augur.net,Augur UI,AugurProject,2021-09-15,2020-02-07,2015-02-02,347,1.1925925925925926
457,dogecoin,,https://github.com/dogecoin/dogecoin.com,,,,dogecoin/dogecoin.com,dogecoin.com,414,198,78,[],HTML,,official repo for dogecoin.com,dogecoin,2021-09-27,2021-09-20,2014-01-03,403,1.0258407079646017
129,ethereum,blockchain,https://github.com/ethereum/lahja,1.0,,,ethereum/lahja,lahja,382,17,19,"['asyncio', 'trio', 'eventbus', 'python', 'python3', 'async']",Python,,"Lahja is a generic multi process event bus implementation written in Python 3.6+ to enable lightweight inter-process communication, based on non-blocking asyncio",ethereum,2021-09-22,2020-09-04,2018-08-30,160,2.376888888888889
285,stella,,https://github.com/stellar/stellar-protocol,,,,stellar/stellar-protocol,stellar-protocol,378,259,84,[],CSS,,Developer discussion about possible changes to the protocol.,stellar,2021-09-22,2021-09-17,2014-08-10,372,1.0153491941673063
38,ethereum,blockchain,https://github.com/ethereum/homebrew-ethereum,1.0,,,ethereum/homebrew-ethereum,homebrew-ethereum,376,145,42,[],Ruby,,Homebrew Tap for Ethereum,ethereum,2021-09-27,2021-09-27,2014-03-07,394,0.9529326574945691
431,cosmos,sdk,https://github.com/cosmos/ibc,,,,cosmos/ibc,ibc,373,135,64,"['distributed-ledger', 'blockchain', 'interchain', 'cosmos']",TeX,,Interchain Standards (ICS) for the Cosmos network & interchain ecosystem.,cosmos,2021-09-28,2021-09-21,2019-02-08,137,2.711318795430945
357,iota,client,https://github.com/iotaledger/iota.py,,,?,iotaledger/iota.py,iota.py,348,135,52,"['internet-of-things', 'iota', 'tangle', 'cryptocurrency', 'balanced-ternary', 'api', 'python-3', 'python-3-6', 'python-3-7']",Python,https://docs.iota.org/,PyOTA: The IOTA Python API Library,iotaledger,2021-09-05,2020-06-04,2016-11-27,252,1.3793884484711212
489,augur,monorepo,https://github.com/AugurProject/augur,,,,AugurProject/augur,augur,344,116,34,"['ethereum', 'ethereum-contract', 'ethereum-dapp', 'dapp', 'solidity', 'react', 'nodejs']",TypeScript,,Augur - Prediction Market Protocol and Client,AugurProject,2021-09-27,2021-03-30,2018-07-31,165,2.084848484848485
59,ethereum,blockchain,https://github.com/ethereum/ethereum-org,1.0,,,ethereum/ethereum-org,ethereum-org,343,1294,102,[],HTML,,[ARCHIVED] ethereum.org website from 2016-2019. See https://github.com/ethereum/ethereum-org-website for current version.,ethereum,2021-09-23,2019-04-17,2015-03-17,341,1.0058651026392962
433,cosmos,sdk,https://github.com/cosmos/gaia,,,,cosmos/gaia,gaia,343,314,42,"['cosmos-sdk', 'blockchain', 'golang']",Python,,Cosmos Hub,cosmos,2021-09-27,2021-09-27,2019-04-02,130,2.6384615384615384
205,cardano,blockchain,https://github.com/input-output-hk/haskell.nix,,,,input-output-hk/haskell.nix,haskell.nix,342,138,23,"['haskell', 'nix', 'build-tool', 'hacktoberfest', 'infrastructure', 'nix-expressions']",Nix,https://input-output-hk.github.io/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs,input-output-hk,2021-09-28,2021-09-28,2018-04-20,179,1.9045346062052506
436,cosmos,sdk,https://github.com/cosmos/ethermint,,,,cosmos/ethermint,ethermint,340,119,38,"['ethereum', 'cosmos-sdk', 'tendermint', 'blockchain', 'cosmos', 'ethermint']",Go,https://ethermint.dev/,"Ethermint is a scalable and interoperable Ethereum, built on Proof-of-Stake with fast-finality using the Cosmos SDK.",cosmos,2021-09-25,2021-09-02,2019-06-19,118,2.860576923076923
426,cosmos,sdk,https://github.com/cosmos/gravity-bridge,,,,cosmos/gravity-bridge,gravity-bridge,339,138,42,[],TypeScript,,"A CosmosSDK application for moving assets on and off of EVM based, POW chains",cosmos,2021-09-23,2021-08-28,2017-10-27,204,1.657122905027933
473,0xproject,?,https://github.com/0xProject/OpenZKP,,,? eth ?,0xProject/OpenZKP,OpenZKP,332,49,31,[],Rust,,OpenZKP - pure Rust implementations of Zero-Knowledge Proof systems.,0xProject,2021-09-23,2020-12-24,2019-03-27,130,2.537117903930131
213,cardano,blockchain,https://github.com/input-output-hk/jormungandr,,,,input-output-hk/jormungandr,jormungandr,332,142,51,[],Rust,https://input-output-hk.github.io/jormungandr/,aspiring blockchain node,input-output-hk,2021-09-24,2021-09-24,2018-10-03,155,2.130155820348304
359,iota,client,https://github.com/iotaledger/iota.go,,,?,iotaledger/iota.go,iota.go,330,99,28,"['iota', 'golang', 'api', 'cryptocurrency', 'internet-of-things']",Go,,IOTA Go API Library. Find documentation on https://docs.iota.org/,iotaledger,2021-09-21,2021-09-13,2016-12-05,251,1.3139931740614335
45,ethereum,blockchain,https://github.com/ethereum/serpent,1.0,,,ethereum/serpent,serpent,325,109,37,[],C++,,,ethereum,2021-09-10,2017-10-01,2014-07-13,376,0.863705391040243
